code,Country,lat,long,Positive,Negative
AD,Andorra,42.546245,1.601554,"1,163,365,084",
AFG,Afghanistan,33.93911,67.709953,"307,769,208",
AG,Antigua and Barbuda,17.060816,-61.796428,"146,226,940",
AGO,Angola,-11.202692,17.873887,"1,544,896,443",
AI,Anguilla,18.220554,-63.068615,"20,361,910",
ALB,Albania,41.153332,20.168331,"1,483,244,421",
ARE,United Arab Emirates,23.424076,53.847818,"32,593,329,000",
ARG,Argentina,-38.416097,-63.616672,"1,730,807,041",
ARM,Armenia,40.069099,45.038189,"333,349,116",
ATA,Antarctica,-75.250973,-0.071389,"8,869,116",
ATF,French Southern Territories,-49.280366,69.348557,"8,042,190",
AUS,Australia,-25.274398,133.775136,"21,625,826,775",
AW,Aruba,12.52111,-69.968338,"126,524,431",
AZE,Azerbaijan,40.143105,47.576927,,"-7,696,128,657"
BB,Barbados,13.193887,-59.543198,"118,659,037",
BDI,Burundi,-3.373056,29.918886,"50,699,185",
BEN,Benin,9.30769,2.315834,"507,712,300",
BFA,Burkina Faso,12.238333,-1.561593,"534,541,932",
BGD,Bangladesh,23.684994,90.356331,,"-13,683,970,134"
BH,Bahrain,25.930414,50.637772,"1,304,283,655",
BHS,Bahamas,25.03428,-77.39628,"718,288,648",
BIH,Bosnia and Herzegovina,43.915886,17.679076,"1,657,766,691",
BLR,Belarus,53.709807,27.953389,"2,665,905,671",
BLZ,Belize,17.189877,-88.49765,,"-17,450,343"
BM,Bermuda,32.321384,-64.75737,"124,556,675",
BOL,Bolivia,-16.290154,-63.588653,"435,046,996",
BRA,Brazil,-14.235004,-51.92528,"1,146,340,164",
BRN,Brunei,4.535277,114.727669,"199,335,645",
BTN,Bhutan,27.514162,90.433601,"1,271,595",
BV,Bouvet Island,-54.423199,3.413194,"1,583,935",
BWA,Botswana,-22.328474,24.684866,,"-1,116,937,961"
CAF,Central African Republic,6.611111,20.939444,"84,683,983",
CAN,Canada,56.130366,-106.346771,"6,307,722,292",
CC,Cocos [Keeling] Islands,-12.164165,96.870956,"135,535",
CHE,Switzerland,46.818188,8.227512,"40,591,576,074",
CHL,Chile,-35.675147,-71.542969,"526,018,545",
CHN,China,35.86166,104.195397,,"-176,044,034,976"
CIV,Côte d'Ivoire,7.539989,-5.54708,,"-1,819,354,763"
CK,Cook Islands,-21.236736,-159.777671,"6,608,034",
CMR,Cameroon,7.369722,12.354722,,"-462,890,828"
COD,Congo [DRC],-4.038333,21.758664,,"-299,677,204"
COG,Congo [Republic],-0.228021,15.827659,,"-221,371,852"
COL,Colombia,4.570868,-74.297333,"418,841,383",
CRI,Costa Rica,9.748917,-83.753428,,"-1,555,367,681"
CUB,Cuba,21.521757,-77.781167,"1,623,138,217",
CV,Cape Verde,16.002082,-24.013197,"428,622,858",
CX,Christmas Island,-10.447525,105.690449,,"-158,841"
DJI,Djibouti,11.825138,42.590275,"314,472,919",
DM,Dominica,15.414999,-61.370976,"22,261,501",
DOM,Dominican Republic,18.735693,-70.162651,"844,205,192",
DZA,Algeria,28.033886,1.659626,"224,782,236",
ECU,Ecuador,-1.831239,-78.183406,,"-803,365,387"
EGY,Egypt,26.820553,30.802498,"11,759,064,752",
ERI,Eritrea,15.179384,39.782334,"43,297,249",
ESH,Western Sahara,24.215527,-12.885834,"328,300",
ETH,Ethiopia,9.145,40.489673,"1,690,511,287",
FJI,Fiji,-16.578193,179.414413,,"-30,565,404"
FLK,Falkland Islands [Islas Malvinas],-51.796253,-59.523613,,"-64,595,710"
FM,Micronesia,7.425554,150.550812,"1,781,372",
FO,Faroe Islands,61.892635,-6.911806,"63,712,692",
GAB,Gabon,-0.803689,11.609444,"84,046,344",
GD,Grenada,12.262776,-61.604171,"25,787,148",
GEO,Georgia,42.315407,43.356892,"1,322,157,885",
GHA,Ghana,7.946527,-1.023194,"918,989,766",
GI,Gibraltar,36.137741,-5.345374,"5,133,367,033",
GIN,Guinea,9.945587,-9.696645,"749,150,213",
