Country,Import,Imkg,Export,Exkg
Afghanistan,"22,278,985","2,836,000","330,048,193","99,859,000"
Albania,"1,503,196,881","1,332,587,000","2,986,441,302","2,468,958,000"
Algeria,"18,572,130,391","58,219,544,000","18,796,912,627","15,445,796,000"
American Samoa,"2,643,644","1,346,000","4,561,713","419,000"
Andorra,"86,333,546","149,488,000","1,249,698,630","690,689,000"
Angola,"2,332,521,408","5,626,241,000","3,877,417,851","1,661,662,000"
Anguilla,"1,665,449","61,000","22,027,359","2,128,000"
Antarctica,"5,395,280","31,000","14,264,396","14,490,000"
Antigua and Barbuda,"109,013,974","13,437,000","255,240,914","94,178,000"
Argentina,"8,185,432,796","15,127,434,000","9,916,239,837","3,490,673,000"
Armenia,"383,635,391","143,015,000","716,984,507","157,429,000"
Aruba,"66,389,172","8,830,000","192,913,603","98,377,000"
Australia,"13,006,140,184","23,810,365,000","34,631,966,959","5,496,427,000"
Azerbaijan,"9,408,345,360","24,688,661,000","1,712,216,703","355,594,000"
Bahamas,"329,605,151","29,173,000","1,047,893,799","724,656,000"
Bahrain,"905,930,451","1,106,020,000","2,210,214,106","548,777,000"
Bangladesh,"16,859,152,677","1,405,508,000","3,175,182,543","1,358,202,000"
Barbados,"47,673,784","6,284,000","166,332,821","60,739,000"
Belarus,"3,401,561,990","13,354,135,000","6,067,467,661","3,136,232,000"
Belize,"143,984,639","231,938,000","126,534,296","95,523,000"
Benin,"38,044,892","58,635,000","545,757,192","702,505,000"
Bermuda,"65,073,256","1,249,000","189,629,931","42,742,000"
Bhutan,"13,337,980","12,681,000","14,609,575","1,463,000"
Bolivia,"547,078,202","280,836,000","982,125,198","155,828,000"
"Bonaire, Sint Eustatius and Saba","12,643,651","137,076,000","69,634,625","31,944,000"
Bosnia and Herzegovina,"4,266,780,239","5,390,998,000","5,924,546,930","5,026,726,000"
Botswana,"1,384,310,206","6,109,000","267,372,245","24,335,000"
Bouvet Island,62,,"1,583,997","9,000"
Brazil,"31,113,514,844","88,481,817,000","32,259,855,008","14,904,179,000"
British Indian Ocean Territory,"36,474,576","159,000","7,811,103","13,911,000"
Brunei Darussalam,"17,624,067","733,000","216,959,712","26,956,000"
Burkina Faso,"191,077,438","197,838,000","725,619,370","868,641,000"
Burundi,"25,115,643","8,103,000","75,814,828","27,725,000"
Cambodia,"4,951,378,935","627,971,000","850,597,200","199,209,000"
Cameroon,"1,935,054,266","3,320,861,000","1,472,163,438","2,796,623,000"
Canada,"31,385,393,612","40,705,075,000","37,693,115,904","11,820,898,000"
Cape Verde,"72,756,978","20,057,000","501,379,836","699,227,000"
Cayman Islands,"798,851,831","2,955,000","1,615,202,652","12,707,000"
Central African Republic,"12,322,819","13,528,000","97,006,802","37,205,000"
Ceuta,"8,356,548","30,938,000","639,464,412","561,017,000"
Chad,"228,759,892","536,531,000","168,549,772","62,851,000"
Chile,"8,259,140,199","5,118,130,000","8,785,158,744","2,377,381,000"
"China, People's Republic of","374,297,523,131","60,562,395,000","198,253,488,155","55,101,147,000"
Christmas Island,"227,397","53,000","68,556","4,000"
"Cocos Islands, or Keeling Islands","346,326","63,000","481,861","88,000"
Colombia,"5,566,738,592","30,855,385,000","5,985,579,975","2,665,506,000"
Comoros,"19,677,897","414,000","52,589,895","35,726,000"
Congo,"1,028,123,514","1,046,308,000","806,751,662","498,549,000"
"Congo, Democratic Republic of","1,223,562,986","251,939,000","923,885,782","411,118,000"
Cook Islands,"7,737,627","3,531,000","14,345,661","5,482,000"
Costa Rica,"2,652,386,643","2,525,816,000","1,097,018,962","428,970,000"
Cuba,"470,145,030","589,894,000","2,093,283,247","1,374,192,000"
Curacao,"68,612,991","41,522,000","335,584,992","119,033,000"
Djibouti,"19,147,274","6,146,000","333,620,193","322,887,000"
Dominica,"6,025,612","4,222,000","28,287,113","11,403,000"
Dominican Republic,"905,945,193","479,158,000","1,750,150,385","795,669,000"
East Timor,"17,917,340","2,748,000","17,232,384","5,373,000"
Ecuador,"3,020,024,619","2,115,585,000","2,216,659,232","1,448,308,000"
Egypt,"8,087,083,932","15,707,014,000","19,846,148,684","16,718,534,000"
El Salvador,"249,267,902","185,204,000","480,461,915","131,894,000"
Equatorial Guinea,"1,206,660,803","3,479,783,000","341,964,655","299,043,000"
Eritrea,"21,234,131","20,379,000","64,531,380","13,209,000"
Ethiopia,"689,648,423","232,530,000","2,380,159,710","678,548,000"
Falkland Islands,"165,111,153","62,118,000","100,515,443","53,526,000"
Faroe Islands,"680,824,166","196,461,000","744,536,858","549,015,000"
Fiji,"95,133,648","189,732,000","64,568,244","15,954,000"
French Polynesia,"33,414,329","6,912,000","693,098,494","159,173,000"
French Southern Territories,"7,784,207","808,000","15,826,397","7,021,000"
Gabon,"775,153,703","2,046,815,000","859,200,047","616,911,000"
Gambia,"12,380,746","4,020,000","183,509,836","515,322,000"
Georgia,"667,210,171","776,258,000","1,989,368,056","1,360,895,000"
Ghana,"2,123,044,619","2,251,918,000","3,042,034,385","5,985,469,000"
Gibraltar,"281,597,619","305,050,000","5,414,964,652","11,165,847,000"
Greenland,"497,081,933","158,076,000","603,046,520","306,685,000"
Grenada,"5,331,989","927,000","31,119,137","11,494,000"
Guam,"625,787","2,000","37,948,028","5,839,000"
Guatemala,"1,036,311,589","1,013,729,000","992,310,444","340,800,000"
Guinea,"441,216,797","9,610,544,000","1,190,367,010","2,337,292,000"
Guinea-Bissau,"3,205,107","395,000","148,577,615","329,086,000"
Guyana,"245,453,983","490,192,000","110,607,384","70,662,000"
Haiti,"47,228,048","5,821,000","223,091,331","319,858,000"
Heard Island and McDonald Islands,"8,857",,"227,601","230,000"
High seas,"146,570,739","374,555,000","1,655,771,765","2,265,920,000"
Holy See,"2,204,847","38,000","37,895,758","12,292,000"
Honduras,"1,258,795,113","836,709,000","437,486,767","250,324,000"
Hong Kong,"11,254,327,472","487,163,000","36,841,811,827","3,184,103,000"
Iceland,"3,355,932,949","1,584,389,000","3,714,401,381","1,754,083,000"
India,"44,011,393,836","20,270,497,000","41,719,346,570","12,546,425,000"
Indonesia,"16,641,463,992","15,818,743,000","10,122,795,375","4,071,421,000"
"Iran, Islamic Republic of","10,132,937,230","29,034,382,000","10,822,255,025","2,619,291,000"
Iraq,"13,111,755,882","41,025,090,000","3,535,361,911","815,409,000"
Israel,"14,750,180,672","7,717,509,000","21,461,200,578","10,653,978,000"
Ivory Coast,"4,668,344,044","3,480,203,000","2,848,989,281","4,398,691,000"
Jamaica,"256,236,987","564,531,000","425,459,443","136,269,000"
Japan,"68,553,205,700","5,556,855,000","60,432,800,626","8,279,149,000"
Jordan,"357,057,889","350,071,000","4,114,125,167","3,229,244,000"
Kazakhstan,"17,665,037,378","42,727,069,000","5,102,085,330","861,560,000"
Kenya,"1,291,224,764","458,539,000","1,913,240,393","1,195,971,000"
Kiribati,"300,731","5,000","1,867,847","279,000"
"Korea, Democratic People's Republic of","5,065,112","2,066,000","12,661,576","2,644,000"
"Korea, Republic of","49,939,943,073","13,303,787,000","49,797,252,030","13,338,678,000"
Kosovo,"89,007,392","58,732,000","907,288,534","594,983,000"
Kuwait,"4,167,147,664","11,064,415,000","5,752,437,183","1,321,791,000"
Kyrgyzstan,"165,584,471","16,403,000","292,991,356","79,550,000"
Lao People's Democratic Republic,"274,881,588","84,785,000","210,059,029","22,080,000"
Lebanon,"454,386,282","195,873,000","7,252,485,774","8,296,016,000"
Lesotho,"270,797,087","1,443,000","11,710,214","3,810,000"
Liberia,"558,767,412","1,570,439,000","626,803,932","550,170,000"
Libyan Arab Jamahiriya,"11,600,386,641","32,883,640,000","3,641,478,498","4,673,842,000"
Liechtenstein,"1,114,381,181","148,607,000","1,376,205,067","410,661,000"
Macao,"117,845,375","6,980,000","626,130,092","34,889,000"
