Country,Import,Export
Afghanistan,22278985.00,330048193.00
Albania,1503196881.00,2986441302.00
Algeria,18572130391.00,18796912627.00
American Samoa,2643644.00,4561713.00
Andorra,86333546.00,1249698630.00
Angola,2332521408.00,3877417851.00
Anguilla,1665449.00,22027359.00
Antarctica,5395280.00,14264396.00
Antigua and Barbuda,109013974.00,255240914.00
Argentina,8185432796.00,9916239837.00
Armenia,383635391.00,716984507.00
Aruba,66389172.00,192913603.00
Australia,13006140184.00,34631966959.00
Azerbaijan,9408345360.00,1712216703.00
Bahamas,329605151.00,1047893799.00
Bahrain,905930451.00,2210214106.00
Bangladesh,16859152677.00,3175182543.00
Barbados,47673784.00,166332821.00
Belarus,3401561990.00,6067467661.00
Belize,143984639.00,126534296.00
Benin,38044892.00,545757192.00
Bermuda,65073256.00,189629931.00
Bhutan,13337980.00,14609575.00
Bolivia,547078202.00,982125198.00
"Bonaire, Sint Eustatius and Saba",12643651.00,69634625.00
Bosnia and Herzegovina,4266780239.00,5924546930.00
Botswana,1384310206.00,267372245.00
Bouvet Island,62.00,1583997.00
Brazil,31113514844.00,32259855008.00
British Indian Ocean Territory,36474576.00,7811103.00
Brunei Darussalam,17624067.00,216959712.00
Burkina Faso,191077438.00,725619370.00
Burundi,25115643.00,75814828.00
Cambodia,4951378935.00,850597200.00
Cameroon,1935054266.00,1472163438.00
Canada,31385393612.00,37693115904.00
Cape Verde,72756978.00,501379836.00
Cayman Islands,798851831.00,1615202652.00
Central African Republic,12322819.00,97006802.00
Ceuta,8356548.00,639464412.00
Chad,228759892.00,168549772.00
Chile,8259140199.00,8785158744.00
"China, People's Republic of",374297523131.00,198253488155.00
Christmas Island,227397.00,68556.00
"Cocos Islands, or Keeling Islands",346326.00,481861.00
Colombia,5566738592.00,5985579975.00
Comoros,19677897.00,52589895.00
Congo,1028123514.00,806751662.00
"Congo, Democratic Republic of",1223562986.00,923885782.00
Cook Islands,7737627.00,14345661.00
Costa Rica,2652386643.00,1097018962.00
Cuba,470145030.00,2093283247.00
Curacao,68612991.00,335584992.00
Djibouti,19147274.00,333620193.00
Dominica,6025612.00,28287113.00
Dominican Republic,905945193.00,1750150385.00
East Timor,17917340.00,17232384.00
Ecuador,3020024619.00,2216659232.00
Egypt,8087083932.00,19846148684.00
El Salvador,249267902.00,480461915.00
Equatorial Guinea,1206660803.00,341964655.00
Eritrea,21234131.00,64531380.00
Ethiopia,689648423.00,2380159710.00
Falkland Islands,165111153.00,100515443.00
Faroe Islands,680824166.00,744536858.00
Fiji,95133648.00,64568244.00
French Polynesia,33414329.00,693098494.00
French Southern Territories,7784207.00,15826397.00
Gabon,775153703.00,859200047.00
Gambia,12380746.00,183509836.00
Georgia,667210171.00,1989368056.00
Ghana,2123044619.00,3042034385.00
Gibraltar,281597619.00,5414964652.00
Greenland,497081933.00,603046520.00
Grenada,5331989.00,31119137.00
Guam,625787.00,37948028.00
Guatemala,1036311589.00,992310444.00
Guinea,441216797.00,1190367010.00
Guinea-Bissau,3205107.00,148577615.00
Guyana,245453983.00,110607384.00
Haiti,47228048.00,223091331.00
Heard Island and McDonald Islands,8857.00,227601.00
High seas,146570739.00,1655771765.00
Holy See,2204847.00,37895758.00
Honduras,1258795113.00,437486767.00
Hong Kong,11254327472.00,36841811827.00
Iceland,3355932949.00,3714401381.00
India,44011393836.00,41719346570.00
Indonesia,16641463992.00,10122795375.00
"Iran, Islamic Republic of",10132937230.00,10822255025.00
Iraq,13111755882.00,3535361911.00
Israel,14750180672.00,21461200578.00
Ivory Coast,4668344044.00,2848989281.00
Jamaica,256236987.00,425459443.00
Japan,68553205700.00,60432800626.00
Jordan,357057889.00,4114125167.00
Kazakhstan,17665037378.00,5102085330.00
Kenya,1291224764.00,1913240393.00
Kiribati,300731.00,1867847.00
"Korea, Democratic People's Republic of",5065112.00,12661576.00
"Korea, Republic of",49939943073.00,49797252030.00
Kosovo,89007392.00,907288534.00
Kuwait,4167147664.00,5752437183.00
Kyrgyzstan,165584471.00,292991356.00
Lao People's Democratic Republic,274881588.00,210059029.00
Lebanon,454386282.00,7252485774.00
Lesotho,270797087.00,11710214.00
Liberia,558767412.00,626803932.00
Libyan Arab Jamahiriya,11600386641.00,3641478498.00
Liechtenstein,1114381181.00,1376205067.00
Macao,117845375.00,626130092.00
"Macedonia, Former Yugoslav Republic of ",4238105564.00,4972286740.00
Madagascar,1178832202.00,685342350.00
Malawi,370256829.00,168951734.00
Malaysia,24951702545.00,14389012663.00
Maldives,75862863.00,188034912.00
Mali,35226352.00,1109809993.00
Marshall Islands,232304348.00,1150116310.00
Mauritania,560728227.00,749402828.00
Mauritius,924274151.00,1169955624.00
Melilla,7155824.00,559652818.00
Mexico,23723489881.00,37950090903.00
"Micronesia, Federated States of",165618.00,1946990.00
"Moldova, Republic of",1616591408.00,2444992577.00
Mongolia,71537616.00,380787842.00
Montenegro,166008065.00,1068052535.00
Montserrat,1894678.00,2798368.00
Morocco,15092309254.00,22399793193.00
Mozambique,1646936957.00,530759309.00
Myanmar,1548991551.00,538560443.00
Namibia,1305015461.00,476491946.00
Nauru,71750.00,128478.00
Nepal,94510780.00,285537647.00
New Caledonia,130210149.00,963555786.00
New Zealand,3390575817.00,5291357939.00
Nicaragua,374427123.00,243815097.00
Niger,241202227.00,310789208.00
Nigeria,15197156437.00,10081981768.00
Niue,230529.00,1598376.00
Norfolk Island,552879.00,19061989.00
Northern Mariana Islands,163050.00,16549126.00
Norway,77448183468.00,50707060445.00
Oman,407255971.00,5757725914.00
Pakistan,6674882755.00,6143118708.00
Palau,118837.00,2919189.00
Palestinian Territory Occupied,15862540.00,261959784.00
Panama,511935482.00,2196442847.00
Papua New Guinea,896100279.00,163779807.00
Paraguay,1152746649.00,680652866.00
Peru,6043918238.00,4059235368.00
Philippines,7545367750.00,6593497739.00
Pitcairn,115505.00,2029695.00
Qatar,6483347356.00,10369203742.00
Russian Federation,145004771312.00,86188521747.00
Rwanda,56905231.00,194307310.00
Saint Barthelemy,3711315.00,10090481.00
Saint Helena,2237333.00,20994464.00
Samoa,5526368.00,21410327.00
San Marino,74261061.00,243315212.00
São Tomé and Príncipe,8576669.00,69161714.00
Saudi Arabia,21473459999.00,33136866263.00
Senegal,455630974.00,2920218181.00
Serbia,9990749320.00,13395567927.00
Seychelles,290949179.00,297990733.00
Sierra Leone,262460046.00,222783471.00
Singapore,19950793766.00,33204826724.00
Sint Maarten (Dutch part),62414827.00,106535030.00
Solomon Islands,65793970.00,6613511.00
Somalia,18219944.00,159313868.00
South Africa,23091449131.00,24470025081.00
South Georgia and South Sandwich Islands,2167.00,270545.00
South Sudan,371330.00,32885523.00
Sri Lanka,2689467141.00,1704228081.00
St Kitts and Nevis,8734817.00,61070095.00
St Lucia,11843048.00,57817610.00
St Pierre and Miquelon,1378640.00,33195504.00
St Vincent and the Grenadines,99220318.00,40788123.00
Sudan,173787207.00,1047040788.00
Suriname,222542336.00,288970178.00
Swaziland,87402190.00,48854235.00
Switzerland,110233382418.00,150824958492.00
Syrian Arab Republic,95772013.00,535724954.00
Taiwan,29475330295.00,20671014783.00
Tajikistan,42572394.00,171829307.00
"Tanzania, United Republic of",522953564.00,901057528.00
Thailand,22239315683.00,15032356841.00
Togo,81029505.00,2756640281.00
Tokelau,1625559.00,7353874.00
Tonga,425851.00,3781029.00
Trinidad and Tobago,1137571588.00,512388474.00
Tunisia,9426932594.00,11114772024.00
Turkey,69744684257.00,84770395787.00
Turkmenistan,253370201.00,900869290.00
Turks and Caicos Islands,3469292.00,12732619.00
Tuvalu,187307.00,1922167.00
Uganda,516268704.00,503334606.00
Ukraine,16756743431.00,20223206782.00
United Arab Emirates,10019281960.00,42612610960.00
United States,254232039444.00,375027889797.00
United States Minor Outlying Islands,897005.00,2720436.00
Uruguay,1519857945.00,1553256283.00
Uzbekistan,219832036.00,1686415704.00
Vanuatu,1139149.00,13641970.00
Venezuela,1645134510.00,795517326.00
Vietnam,36873221277.00,10616095930.00
"Virgin Islands, British",255567938.00,414642691.00
"Virgin Islands, United States of America",14133946.00,35827562.00
Wallis and Futuna,389313.00,16056385.00
Western Sahara,21517.00,349817.00
Yemen,33369395.00,555239581.00
Zambia,360562628.00,401004267.00
Zimbabwe,452235994.00,190919797.00
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
