code,Country,Total,Positive,Negative,Imports,Exports
CX,Christmas Island,"295,953",,"158,841","227,397","68,556"
TLS,East Timor,"35,149,724",,"684,956","17,917,340","17,232,384"
UGA,Uganda,"1,019,603,310",,"12,934,098","516,268,704","503,334,606"
BLZ,Belize,"270,518,935",,"17,450,343","143,984,639","126,534,296"
IO,British Indian Ocean Territory,"44,285,679",,"28,663,473","36,474,576","7,811,103"
FJI,Fiji,"159,701,892",,"30,565,404","95,133,648","64,568,244"
SWZ,Swaziland,"136,256,425",,"38,547,955","87,402,190","48,854,235"
SLE,Sierra Leone,"485,243,517",,"39,676,575","262,460,046","222,783,471"
GTM,Guatemala,"2,028,622,033",,"44,001,145","1,036,311,589","992,310,444"
VC,St Vincent and the Grenadines,"140,008,441",,"58,432,195","99,220,318","40,788,123"
SLB,Solomon Islands,"72,407,481",,"59,180,459","65,793,970","6,613,511"
TCD,Chad,"397,309,664",,"60,210,120","228,759,892","168,549,772"
FLK,Falkland Islands,"265,626,596",,"64,595,710","165,111,153","100,515,443"
LAO,Lao People's Democratic Republic,"484,940,617",,"64,822,559","274,881,588","210,059,029"
NIC,Nicaragua,"618,242,220",,"130,612,026","374,427,123","243,815,097"
GUY,Guyana,"356,061,367",,"134,846,599","245,453,983","110,607,384"
KOR,"Korea, Republic of","99,737,195,103",,"142,691,043","49,939,943,073","49,797,252,030"
MWI,Malawi,"539,208,563",,"201,305,095","370,256,829","168,951,734"
COG,Congo,"1,834,875,176",,"221,371,852","1,028,123,514","806,751,662"
LSO,Lesotho,"282,507,301",,"259,086,873","270,797,087","11,710,214"
ZWE,Zimbabwe,"643,155,791",,"261,316,197","452,235,994","190,919,797"
COD,"Congo, Democratic Republic of","2,147,448,768",,"299,677,204","1,223,562,986","923,885,782"
CMR,Cameroon,"3,407,217,704",,"462,890,828","1,935,054,266","1,472,163,438"
PRY,Paraguay,"1,833,399,515",,"472,093,783","1,152,746,649","680,652,866"
MDG,Madagascar,"1,864,174,552",,"493,489,852","1,178,832,202","685,342,350"
