Year,Germany,Belgium,CzechRepublic,Spain,France,Italy,Netherlands,Austria,Poland,UK,Others
2007,"964,038.00","314,448.00","89,382.20","184,821.10","408,326.90","364,743.90","401,900.80","119,387.40","102,259.40","322,386.60","643,651.70"
2008,"983,255.00","320,805.20","99,809.10","191,387.80","418,983.00","369,015.60","433,721.70","123,258.80","115,894.70","321,027.80","671,477.20"
2009,"803,011.00","265,986.00","80,983.30","162,990.00","348,035.40","291,733.10","356,962.30","98,213.70","97,865.50","254,703.70","547,804.50"
2010,"949,629.00","307,529.90","100,310.50","191,911.90","395,087.20","337,407.40","433,173.10","115,078.50","120,482.60","313,765.50","646,230.70"
2011,"1,058,897.00","341,718.20","117,054.10","220,223.30","428,500.60","375,903.80","479,239.40","127,462.40","135,557.80","363,915.20","729,402.30"
2012,"1,090,529.00","347,088.60","122,230.00","229,802.30","442,643.40","390,182.10","510,098.00","129,678.50","144,282.40","367,988.70","749,211.20"
2013,"1,088,071.00","352,955.70","122,185.10","239,314.30","437,150.60","390,232.60","505,651.50","131,884.60","154,343.70","407,059.50","746,630.10"
2014,"1,125,034.00","355,527.80","131,798.90","244,287.20","437,376.60","398,870.40","506,338.90","134,172.50","165,714.90","380,282.10","756,981.90"
2015,"1,195,822.00","357,737.20","142,364.10","254,599.40","456,369.30","412,291.30","514,309.10","137,756.80","179,532.60","414,739.30","793,896.00"
2016,"1,205,488.00","359,593.00","146,999.90","262,041.30","453,306.30","417,268.90","516,248.90","137,409.90","182,967.20","370,023.00","808,944.70"
2017,"1,282,023.00","380,214.10","159,446.00","283,716.30","473,741.80","448,106.70","577,144.50","148,730.10","204,419.50","393,893.60","874,619.40"
